q EQ,i EQ,q ME,i ME
1.703368,11.484056,1.703368,8.728612
1.708994,12.932274,1.708994,7.313128
1.714619,8.867596,1.714619,7.692224
1.720244,12.573011,1.720244,7.542622
1.725869,15.972946,1.725869,7.051279
1.731494,16.808439,1.731494,7.041671
1.737119,0.000000,1.737119,6.819806
1.742744,0.000000,1.742744,6.175595
1.748369,0.000000,1.748369,7.029044
1.753994,0.000000,1.753994,8.123745
1.759620,0.000000,1.759620,7.503654
1.765245,0.000000,1.765245,7.112842
1.770870,0.000000,1.770870,7.292654
1.776495,0.000000,1.776495,7.247291
1.782120,0.000000,1.782120,7.704489
1.787745,0.000000,1.787745,6.587738
1.793370,0.000000,1.793370,7.565241
1.798995,0.000000,1.798995,7.732653
1.804620,0.000000,1.804620,6.597164
1.810245,0.000000,1.810245,9.014645
1.815871,0.000000,1.815871,9.727744
1.821496,0.000000,1.821496,5.652648
1.827121,0.000000,1.827121,4.917008
1.832746,0.000000,1.832746,6.254395
1.838371,0.000000,1.838371,7.692935
1.843996,0.000000,1.843996,6.648165
1.849621,0.000000,1.849621,6.209459
1.855246,0.000000,1.855246,7.799630
1.860871,0.000000,1.860871,8.312757
1.866497,0.000000,1.866497,7.377347
1.872122,0.000000,1.872122,7.720133
1.877747,0.000000,1.877747,8.619577
1.883372,0.000000,1.883372,8.943265
1.888997,0.000000,1.888997,6.216160
1.894622,0.000000,1.894622,7.639483
1.900247,0.000000,1.900247,8.445805
1.905872,0.000000,1.905872,6.716970
1.911497,0.000000,1.911497,6.677999
1.917123,0.000000,1.917123,4.478213
1.922748,0.000000,1.922748,3.834175
1.928373,0.000000,1.928373,6.147979
1.933998,0.000000,1.933998,8.120252
1.939623,0.000000,1.939623,4.749128
1.945248,0.000000,1.945248,5.610330
1.950873,0.000000,1.950873,9.265376
1.956498,0.000000,1.956498,7.009812
1.962123,0.000000,1.962123,4.247444
1.967748,0.000000,1.967748,5.102031
1.973374,0.000000,1.973374,7.179861
1.978999,0.000000,1.978999,5.433481
1.984624,0.000000,1.984624,4.294960
1.990249,0.000000,1.990249,4.916575
1.995874,0.000000,1.995874,5.510641
2.001499,0.000000,2.001499,6.785893
2.007124,0.000000,2.007124,7.304697
2.012749,0.000000,2.012749,6.456690
2.018374,0.000000,2.018374,7.763258
2.024000,0.000000,2.024000,9.048638
2.029625,0.000000,2.029625,8.478488
2.035250,0.000000,2.035250,8.414033
2.040875,0.000000,2.040875,7.400762
2.046500,0.000000,2.046500,6.418672
2.052125,0.000000,2.052125,6.006474
2.057750,0.000000,2.057750,6.681369
2.063375,0.000000,2.063375,6.533541
2.069000,0.000000,2.069000,6.175426
2.074626,0.000000,2.074626,7.450285
2.080251,0.000000,2.080251,6.832387
2.085876,0.000000,2.085876,5.846160
2.091501,0.000000,2.091501,6.686691
2.097126,0.000000,2.097126,6.374935
2.102751,0.000000,2.102751,7.673046
2.108376,0.000000,2.108376,8.380944
2.114001,0.000000,2.114001,7.917238
2.119626,0.000000,2.119626,7.384261
2.125252,0.000000,2.125252,6.660233
2.130877,0.000000,2.130877,7.697705
2.136502,0.000000,2.136502,7.902235
2.142127,0.000000,2.142127,6.487564
2.147752,0.000000,2.147752,7.674194
2.153377,0.000000,2.153377,8.237351
2.159002,0.000000,2.159002,7.090405
2.164627,0.000000,2.164627,7.284750
2.170252,0.000000,2.170252,7.093072
2.175877,0.000000,2.175877,7.245688
2.181503,0.000000,2.181503,7.236739
2.187128,0.000000,2.187128,7.287275
2.192753,0.000000,2.192753,6.851350
2.198378,0.000000,2.198378,6.969760
2.204003,0.000000,2.204003,6.628468
2.209628,0.000000,2.209628,7.831962
2.215253,0.000000,2.215253,7.930529
2.220878,0.000000,2.220878,6.928957
2.226503,0.000000,2.226503,7.246639
2.232129,0.000000,2.232129,6.900999
2.237754,0.000000,2.237754,8.233140
2.243379,0.000000,2.243379,8.875193
2.249004,0.000000,2.249004,7.629167
2.254629,0.000000,2.254629,7.520345
2.260254,0.000000,2.260254,7.314176
2.265879,0.000000,2.265879,7.589144
2.271504,0.000000,2.271504,7.568047
2.277129,0.000000,2.277129,7.483866
2.282755,0.000000,2.282755,7.812823
2.288380,0.000000,2.288380,6.848678
2.294005,0.000000,2.294005,8.830808
2.299630,0.000000,2.299630,8.359024
2.305255,0.000000,2.305255,6.823671
2.310880,0.000000,2.310880,7.459961
2.316505,0.000000,2.316505,8.226099
2.322130,0.000000,2.322130,8.173476
2.327755,0.000000,2.327755,7.185010
2.333380,0.000000,2.333380,6.433497
2.339006,0.000000,2.339006,6.878593
2.344631,0.000000,2.344631,7.580816
2.350256,0.000000,2.350256,7.094109
2.355881,0.000000,2.355881,6.475586
2.361506,0.000000,2.361506,6.566435
2.367131,0.000000,2.367131,6.771186
2.372756,0.000000,2.372756,7.538768
2.378381,0.000000,2.378381,8.043344
2.384006,0.000000,2.384006,7.748705
2.389632,0.000000,2.389632,6.180850
2.395257,0.000000,2.395257,6.495532
2.400882,0.000000,2.400882,7.417899
2.406507,0.000000,2.406507,6.550173
2.412132,0.000000,2.412132,7.261839
2.417757,0.000000,2.417757,6.843874
2.423382,0.000000,2.423382,6.435389
2.429007,0.000000,2.429007,7.858628
2.434632,0.000000,2.434632,8.352693
2.440258,0.000000,2.440258,7.909344
2.445883,0.000000,2.445883,6.810333
2.451508,0.000000,2.451508,5.851010
2.457133,0.000000,2.457133,6.423086
2.462758,0.000000,2.462758,7.361783
2.468383,0.000000,2.468383,6.591745
2.474008,0.000000,2.474008,6.079937
2.479633,0.000000,2.479633,7.047672
2.485258,0.000000,2.485258,7.602004
2.490884,0.000000,2.490884,7.508648
2.496509,0.000000,2.496509,7.670199
2.502134,0.000000,2.502134,8.099100
2.507759,0.000000,2.507759,7.734518
2.513384,0.000000,2.513384,7.411486
2.519009,0.000000,2.519009,8.036325
2.524634,0.000000,2.524634,6.881084
2.530259,0.000000,2.530259,6.767399
2.535884,0.000000,2.535884,7.114479
2.541509,0.000000,2.541509,7.275990
2.547135,0.000000,2.547135,7.745728
2.552760,0.000000,2.552760,8.163008
2.558385,0.000000,2.558385,7.540070
2.564010,0.000000,2.564010,7.596927
2.569635,0.000000,2.569635,7.461363
2.575260,0.000000,2.575260,7.692054
2.580885,0.000000,2.580885,7.154859
2.586510,0.000000,2.586510,6.052115
2.592135,0.000000,2.592135,6.976506
2.597761,0.000000,2.597761,8.015777
2.603386,0.000000,2.603386,8.195154
2.609011,0.000000,2.609011,8.923176
2.614636,0.000000,2.614636,8.640670
2.620261,0.000000,2.620261,7.007161
2.625886,0.000000,2.625886,6.770572
